Name	Female?	Over 20?	Lives in our world?	Outer space?	Has sidekick?	Human?	Special Powers?	Leads a group?	Has a quest?	Narrates?	Part of a series?	Dies in story?	Kills a family member?
C3PO	No	Yes	No	Yes	Yes	No	No	No	No	No	Yes	No	No
Jon Snow	No	No	Yes	No	Yes	Yes	No	Yes	No	Yes	Yes	No	No
Katniss Everdeen	Yes	No	Yes	No	No	Yes	No	Yes	Unknown	Yes	Yes	No	No
Gale	No	No	Yes	No	No	Yes	No	No	No	No	Yes	No	No
Peeta	No	No	Yes	No	No	Yes	No	No	No	No	Yes	No	No
The Doctor	No	Yes	Yes	Yes	Yes	No	Yes	No	Unknown	Yes	Yes	Yes	No
Neeley Nolan	No	No	Yes	No	No	Yes	No	No	No	No	No	No	No
Francie Nolan	Yes	No	Yes	No	No	Yes	No	No	No	No	No	No	No
Dr. Jekyll	No	Yes	Yes	No	No	Yes	No	No	No	No	No	Unknown	No
Tyler Durden	No	Yes	Yes	No	No	Yes	No	Yes	No	Unknown	No	Unknown	No
King Lear	No	Yes	Yes	No	No	Yes	No	No	No	No	No	Yes	No
Big Brother	No	Yes	Yes	No	No	Yes	No	Yes	No	No	No	Unknown	Unknown
Holden Caulfield	No	No	Yes	No	No	Yes	No	No	No	Yes	No	No	No
Maudie Atkinson	Yes	Yes	Yes	No	No	Yes	No	No	No	No	No	No	No
Valentine Michael Smith	No	No	No	No	No	Yes	Yes	Yes	No	No	Yes	No	No
Dolores (Lolita)	Yes	No	Yes	No	No	Yes	No	No	No	No	No	No	No
Bella Swan	Yes	No	Yes	No	No	Yes	Yes	No	No	Yes	Yes	Unknown	No
Edward Cullen	No	Yes	Yes	No	No	Yes	Yes	Yes	No	No	Yes	No	No
Jacob Black	No	No	No	No	No	Yes	Yes	Yes	No	No	Yes	No	No
